Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 23 5",1,121,350,150,23,5,100,24,28,100,1,16
3,move,"move 24 27",2,126,350,150,23,5,100,24,27,100,1,16
4,move,"move 2 16",3,131,350,150,23,5,100,24,27,100,2,16
5,dig,"dig 22 5",1,138,350,150,23,5,100,24,27,100,2,16
6,dig,"dig 24 26",2,145,350,150,23,5,100,24,27,100,2,16
7,dig,"dig 3 16",3,152,350,150,23,5,100,24,27,100,2,16
8,dig,"dig 22 6",1,159,350,150,23,5,100,24,27,100,2,16
9,move,"move 24 26",2,164,350,150,23,5,100,24,26,100,2,16
10,move,"move 3 16",3,169,350,150,23,5,100,24,26,100,3,16
11,dig,"dig 23 6",1,176,350,150,23,5,100,24,26,100,3,16
12,dig,"dig 24 25",2,183,350,150,23,5,100,24,26,100,3,16
13,dig,"dig 4 16",3,190,350,150,23,5,100,24,26,100,3,16
14,move,"move 22 6",1,195,350,150,22,6,100,24,26,100,3,16
15,dig,"dig 23 26",2,202,350,150,22,6,100,24,26,100,3,16
16,move,"move 4 16",3,207,350,150,22,6,100,24,26,100,4,16
17,dig,"dig 21 6",1,214,350,150,22,6,100,24,26,100,4,16
18,dig,"dig 23 25",2,221,350,150,22,6,100,24,26,100,4,16
19,dig,"dig 5 16",3,228,350,150,22,6,100,24,26,100,4,16
20,move,"move 22 7",1,233,350,150,22,7,100,24,26,100,4,16
21,move,"move 23 26",2,238,350,150,22,7,100,23,26,100,4,16
22,move,"move 5 16",3,243,350,150,22,7,100,23,26,100,5,16
23,dig,"dig 21 7",1,250,350,150,22,7,100,23,26,100,5,16
24,move,"move 23 25",2,255,350,150,22,7,100,23,25,100,5,16
25,dig,"dig 6 16",3,262,350,150,22,7,100,23,25,100,5,16
26,move,"move 21 8",1,267,350,150,21,8,100,23,25,100,5,16
27,dig,"dig 23 24",2,274,350,150,21,8,100,23,25,100,5,16
28,move,"move 6 16",3,279,350,150,21,8,100,23,25,100,6,16
29,move,"move 20 9",1,284,350,150,20,9,100,23,25,100,6,16
30,dig,"dig 22 25",2,291,350,150,20,9,100,23,25,100,6,16
31,move,"move 7 16",3,296,350,150,20,9,100,23,25,100,7,16
32,move,"move 24 26",2,301,350,150,20,9,100,24,26,100,7,16
33,move,"move 8 16",3,306,350,150,20,9,100,24,26,100,8,16
34,move,"move 9 17",3,311,350,150,20,9,100,24,26,100,9,17
35,dig,"dig 21 10",1,318,350,150,20,9,100,24,26,100,9,17
36,move,"move 23 26",2,323,350,150,20,9,100,23,26,100,9,17
37,dig,"dig 10 16",3,330,350,150,20,9,100,23,26,100,9,17
38,move,"move 21 9",1,335,350,150,21,9,100,23,26,100,9,17
39,move,"move 23 25",2,340,350,150,21,9,100,23,25,100,9,17
40,move,"move 24 25",2,345,350,150,21,9,100,24,25,100,9,17
41,move,"move 21 8",1,350,350,150,21,8,100,24,25,100,9,17
42,move,"move 24 24",2,355,350,150,21,8,100,24,24,100,9,17
43,move,"move 22 9",1,360,350,150,22,9,100,24,24,100,9,17
44,move,"move 23 24",2,365,350,150,22,9,100,23,24,100,9,17
45,dig,"dig 8 18",3,372,350,150,22,9,100,23,24,100,9,17
46,move,"move 22 10",1,377,350,150,22,10,100,23,24,100,9,17
47,dig,"dig 22 24",2,384,350,150,22,10,100,23,24,100,9,17
48,move,"move 9 16",3,389,350,150,22,10,100,23,24,100,9,16
49,dig,"dig 23 9",1,396,350,150,22,10,100,23,24,100,9,16
50,dig,"dig 23 23",2,403,350,150,22,10,100,23,24,100,9,16
51,move,"move 8 16",3,408,350,150,22,10,100,23,24,100,8,16
52,move,"move 23 10",1,413,350,150,23,10,100,23,24,100,8,16
53,move,"move 22 24",2,418,350,150,23,10,100,22,24,100,8,16
54,move,"move 9 17",3,423,350,150,23,10,100,22,24,100,9,17
55,dig,"dig 22 11",1,430,350,150,23,10,100,22,24,100,9,17
56,dig,"dig 21 23",2,437,350,150,23,10,100,22,24,100,9,17
57,dig,"dig 8 17",3,444,350,150,23,10,100,22,24,100,9,17
58,move,"move 24 11",1,449,350,150,24,11,100,22,24,100,9,17
59,move,"move 21 24",2,454,350,150,24,11,100,21,24,100,9,17
60,dig,"dig 9 18",3,461,350,150,24,11,100,21,24,100,9,17
61,move,"move 23 12",1,461,350,150,24,11,100,21,24,100,9,17
62,dig,"dig 20 23",2,466,342,142,24,11,100,21,24,100,9,17
63,move,"move 9 16",3,468,334,134,24,11,100,21,24,100,9,16
64,move,"move 23 11",1,473,334,134,23,11,100,21,24,100,9,16
65,dig,"dig 20 24",2,480,334,134,23,11,100,21,24,100,9,16
66,move,"move 10 16",3,485,334,134,23,11,100,21,24,100,10,16
67,move,"move 22 12",1,490,334,134,22,12,100,21,24,100,10,16
